Name,Input List,Start Frame,End Frame,Area AVG,Area STD,RDF Peak,Coordination at Minimum,RG AVG,RG STD,Run 1,Run 2
polymerP3,"[(1, 'S4'), (2, 'S2'), (3, 'S0'), (4, 'E7'), (5, 'E1'), (6, 'E7'), (7, 'E4'), (8, 'S2'), (9, 'S6'), (10, 'S3'), (11, 'E7'), (12, 'S3'), (13, 'S6'), (14, 'S5'), (15, 'S4'), (16, 'E6'), (17, 'E9'), (18, 'E0'), (19, 'S2'), (20, 'E7')]",562,631,15328.81,390.98,1.88,4.43,17.61,0.12,632,-
polymerP4,"[(1, 'E3'), (2, 'E3'), (3, 'E0'), (4, 'S9'), (5, 'E5'), (6, 'E0'), (7, 'E9'), (8, 'S5'), (9, 'S9'), (10, 'E4'), (11, 'E7'), (12, 'S4'), (13, 'E3'), (14, 'E0'), (15, 'S5'), (16, 'S2'), (17, 'E7'), (18, 'S9'), (19, 'E4'), (20, 'E0')]",595,664,16538.65,323.34,1.82,4.18,18.17,0.13,665,-
polymerP5,"[(1, 'E4'), (2, 'E2'), (3, 'S6'), (4, 'S7'), (5, 'S4'), (6, 'S6'), (7, 'E4'), (8, 'S4'), (9, 'S8'), (10, 'S9'), (11, 'S8'), (12, 'E3'), (13, 'E4'), (14, 'S0'), (15, 'E3'), (16, 'E5'), (17, 'E6'), (18, 'S9'), (19, 'E8'), (20, 'S7')]",662,731,18275.40,379.92,1.51,3.28,19.96,0.10,732,-
polymerP6,"[(1, 'S8'), (2, 'S5'), (3, 'E6'), (4, 'E9'), (5, 'S5'), (6, 'E7'), (7, 'E2'), (8, 'E0'), (9, 'S2'), (10, 'E5'), (11, 'E0'), (12, 'E2'), (13, 'E0'), (14, 'S5'), (15, 'S2'), (16, 'S2'), (17, 'S0'), (18, 'S7'), (19, 'S4'), (20, 'E7')]",625,694,14515.18,389.61,1.89,4.30,18.69,0.19,695,-
polymerP7,"[(1, 'S7'), (2, 'E8'), (3, 'E4'), (4, 'S5'), (5, 'S2'), (6, 'S0'), (7, 'E9'), (8, 'S7'), (9, 'E5'), (10, 'S8'), (11, 'E8'), (12, 'E1'), (13, 'S4'), (14, 'S5'), (15, 'S7'), (16, 'E2'), (17, 'S4'), (18, 'E4'), (19, 'E7'), (20, 'E9')]",656,725,18705.15,441.50,1.86,4.30,18.90,0.12,726,-
polymerP8,"[(1, 'E2'), (2, 'S1'), (3, 'S6'), (4, 'E6'), (5, 'S2'), (6, 'S9'), (7, 'E2'), (8, 'E1'), (9, 'E5'), (10, 'E6'), (11, 'S3'), (12, 'E2'), (13, 'E4'), (14, 'E1'), (15, 'E0'), (16, 'S7'), (17, 'E3'), (18, 'S0'), (19, 'E5'), (20, 'E2')]",684,753,12466.48,355.71,1.66,3.66,17.37,0.10,754,-
polymerP9,"[(1, 'E2'), (2, 'S3'), (3, 'S8'), (4, 'E6'), (5, 'S3'), (6, 'E3'), (7, 'S5'), (8, 'E3'), (9, 'E4'), (10, 'E2'), (11, 'E9'), (12, 'S9'), (13, 'E7'), (14, 'S4'), (15, 'S6'), (16, 'S1'), (17, 'E8'), (18, 'E8'), (19, 'E5'), (20, 'E2')]",676,745,16610.00,355.79,1.80,3.91,18.08,0.15,746,-
polymerP10,"[(1, 'S7'), (2, 'E2'), (3, 'S1'), (4, 'S8'), (5, 'E5'), (6, 'E4'), (7, 'S1'), (8, 'S8'), (9, 'S5'), (10, 'S2'), (11, 'E3'), (12, 'E4'), (13, 'E3'), (14, 'S3'), (15, 'E2'), (16, 'E7'), (17, 'E1'), (18, 'S6'), (19, 'E5'), (20, 'E8')]",687,756,14688.43,338.27,1.66,3.86,18.51,0.10,757,-
polymerP11,"[(1, 'E9'), (2, 'E1'), (3, 'S1'), (4, 'E3'), (5, 'E7'), (6, 'S8'), (7, 'S2'), (8, 'E1'), (9, 'E0'), (10, 'S6'), (11, 'E6'), (12, 'E4'), (13, 'E2'), (14, 'E8'), (15, 'S8'), (16, 'S4'), (17, 'E5'), (18, 'S5'), (19, 'E2'), (20, 'E7')]",669,738,15479.92,404.68,1.80,3.92,18.04,0.17,739,-
polymerP12,"[(1, 'S1'), (2, 'E0'), (3, 'S9'), (4, 'E1'), (5, 'E5'), (6, 'E6'), (7, 'S0'), (8, 'S9'), (9, 'E4'), (10, 'E1'), (11, 'S9'), (12, 'E0'), (13, 'S2'), (14, 'S2'), (15, 'E5'), (16, 'S5'), (17, 'E8'), (18, 'E3'), (19, 'S3'), (20, 'E6')]",728,797,14136.05,294.60,1.83,4.22,18.86,0.16,798,-
